Specie (latin name),Functional group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
(thunnus alalunga),Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.16,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
(Oxynotus centrina),Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.17,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
(Thunnus thynnus),Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.18,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Scomber colias,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.19,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Istiophorus albicans,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.20,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Raja miraletus,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.21,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Engraulis encrasicolus,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.22,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Mugil cephalus,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.23,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Sparus aurata,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.24,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Halobatrachus didactylus,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.25,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Oblada melanura,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.26,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Beryx splendens,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.27,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Chaceon maritae,Medium pelagics,0.0042-0.011,0.0042-0.011,0.0042-0.011,0.011-0.025,0.0042-0.011,0.011-0.025,0.025-0.055,0.011-0.025,0.025-0.055,0.011-0.025,0.011-0.025,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.025-0.055,0.055-0.16,0.025-0.055,0.011-0.025,0.025-0.055,0.055-0.16,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.025-0.055,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.025-0.055,0.055-0.016,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.055-0.16,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6,0.16-2.6
Ruvettus pretiosus,Medium reef assoc.fish,0.0025-0.0063,0.00071-0.0025,0.0025-0.0063,0.0025-0.0063,0.00071-0.0025,0.00071-0.0025,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.0025-0.0063,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025,0.00071-0.0025
Scyliorhinus canicula,Other demersal invertebrates,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.012-0.025,0.012-0.026,0.012-0.026,0.025-0.05,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.025-0.05,0.025-0.05,0.025-0.05,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12
Polymixia nobilis,Other demersal invertebrates,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.012-0.025,0.012-0.026,0.012-0.026,0.025-0.05,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.025-0.05,0.025-0.05,0.025-0.05,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12
Galeorhinus galeus,Other demersal invertebrates,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.0027-0.012,0.012-0.025,0.012-0.026,0.012-0.026,0.025-0.05,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.05-0.12,0.025-0.05,0.025-0.05,0.025-0.05,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12,0.025-0.05,0.025-0.05,0.05-0.12,0.05-0.12
Raja brachyura,Shrimps,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.012-0.021,0.0013-0.0033,0.0013-0.0033,0.0004-0.0013,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.012-0.021,0.012-0.021,0.012-0.021,0.0079-0.012,0.0079-0.012,0.012-0.021,0.012-0.021,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16
Umbrina canariensis,Shrimps,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.012-0.021,0.0013-0.0033,0.0013-0.0033,0.0004-0.0013,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.012-0.021,0.012-0.021,0.012-0.021,0.0079-0.012,0.0079-0.012,0.012-0.021,0.012-0.021,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16
Trachurus trecae,Shrimps,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.012-0.021,0.0013-0.0033,0.0013-0.0033,0.0004-0.0013,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.012-0.021,0.012-0.021,0.012-0.021,0.0079-0.012,0.0079-0.012,0.012-0.021,0.012-0.021,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16
Auxis thazard,Shrimps,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.012-0.021,0.0013-0.0033,0.0013-0.0033,0.0004-0.0013,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.012-0.021,0.012-0.021,0.012-0.021,0.0079-0.012,0.0079-0.012,0.012-0.021,0.012-0.021,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16
Sphyrna lewini,Shrimps,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0033-0.0079,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0013-0.0033,0.0013-0.0033,0.0013-0.0033,0.012-0.021,0.0013-0.0033,0.0013-0.0033,0.0004-0.0013,0.0013-0.0033,0.0013-0.0033,0.0033-0.0079,0.0079-0.012,0.0033-0.0079,0.0013-0.0033,0.0033-0.0079,0.0033-0.0079,0.012-0.021,0.012-0.021,0.012-0.021,0.0079-0.012,0.0079-0.012,0.012-0.021,0.012-0.021,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16,0.021-0.16
Dalatias licha,Small  to medium sharks,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.014-0.022,0.014-0.022,0.014-0.022,0.014-0.022,0.014-0.022,0.014-0.022,0.014-0.022,0.014-0.022,0.014-0.022,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014,0.0073-0.014
Hexanchus griseus,Small demersals,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.0075-0.02,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.02-0.038,0.0075-0.02,0.02-0.038,0.02-0.038,0.02-0.038
